date,store_id,product_id,category,quantity,unit_price,on_promo,revenue,email
2025-11-24,Store_1,P001,beverages,1,1.5,False,1.5,user1@email.com
2025-04-25,Store_3,P002,snacks,47,2.48,True,116.33,user2@email.com
2025-10-07,Store_1,P001,beverages,37,1.5,False,55.5,user3@email.com
2025-01-16,Store_3,P001,beverages,13,1.35,True,17.55,user4@email.com
2025-11-05,Store_3,P001,beverages,35,1.35,True,47.25,user5@email.com
2025-11-29,Store_3,P004,personal_care,14,6.5,False,91.0,user6@email.com
2025-05-23,Store_3,P001,beverages,48,1.35,True,64.8,user7@email.com
2025-08-05,Store_1,P003,household,17,10.8,True,183.6,user8@email.com
2025-06-22,Store_1,P001,beverages,5,1.5,False,7.5,user9@email.com
2025-07-03,Store_1,P003,household,38,12.0,False,456.0,user10@email.com
2025-08-24,Store_3,P001,beverages,24,1.35,True,32.4,user11@email.com
2025-05-31,Store_3,P003,household,36,10.8,True,388.8,user12@email.com
2025-02-05,Store_2,P001,beverages,42,1.35,True,56.7,user13@email.com
2025-02-10,Store_2,P002,snacks,6,2.75,False,16.5,user14@email.com
2025-08-21,Store_2,P003,household,10,12.0,False,120.0,user15@email.com
2025-04-18,Store_3,P003,household,44,10.8,True,475.2,user16@email.com
2025-11-22,Store_1,P002,snacks,34,2.48,True,84.15,user17@email.com
2025-08-25,Store_3,P004,personal_care,17,5.85,True,99.45,user18@email.com
2025-06-16,Store_2,P001,beverages,14,1.35,True,18.9,user19@email.com
2025-07-25,Store_3,P003,household,4,10.8,True,43.2,user20@email.com
2025-06-11,Store_2,P002,snacks,41,2.75,False,112.75,user21@email.com
2025-11-26,Store_1,P004,personal_care,9,6.5,False,58.5,user22@email.com
2025-05-07,Store_3,P003,household,47,12.0,False,564.0,user23@email.com
2025-07-24,Store_3,P003,household,14,10.8,True,151.2,user24@email.com
2025-09-10,Store_1,P001,beverages,48,1.35,True,64.8,user25@email.com
2025-03-20,Store_3,P002,snacks,50,2.75,False,137.5,user26@email.com
2025-02-02,Store_3,P004,personal_care,24,6.5,False,156.0,user27@email.com
2025-05-09,Store_3,P001,beverages,43,1.35,True,58.05,user28@email.com
2025-10-02,Store_1,P003,household,49,12.0,False,588.0,user29@email.com
2025-05-31,Store_1,P004,personal_care,10,6.5,False,65.0,user30@email.com
2025-05-15,Store_3,P002,snacks,32,2.48,True,79.2,user31@email.com
2025-06-02,Store_1,P002,snacks,9,2.75,False,24.75,user32@email.com
2025-10-04,Store_2,P001,beverages,38,1.5,False,57.0,user33@email.com
2025-01-10,Store_1,P001,beverages,23,1.5,False,34.5,user34@email.com
2025-01-30,Store_1,P002,snacks,36,2.48,True,89.1,user35@email.com
2025-09-06,Store_1,P001,beverages,48,1.35,True,64.8,user36@email.com
2025-12-04,Store_2,P004,personal_care,35,5.85,True,204.75,user37@email.com
2025-09-28,Store_3,P004,personal_care,13,5.85,True,76.05,user38@email.com
2025-06-09,Store_2,P004,personal_care,42,6.5,False,273.0,user39@email.com
2025-09-22,Store_1,P004,personal_care,7,5.85,True,40.95,user40@email.com
2025-02-02,Store_3,P003,household,1,10.8,True,10.8,user41@email.com
2025-04-23,Store_1,P001,beverages,4,1.35,True,5.4,user42@email.com
2025-02-04,Store_3,P001,beverages,21,1.35,True,28.35,user43@email.com
2025-05-02,Store_1,P003,household,42,12.0,False,504.0,user44@email.com
2025-10-04,Store_1,P002,snacks,46,2.75,False,126.5,user45@email.com
2025-08-31,Store_1,P004,personal_care,12,5.85,True,70.2,user46@email.com
2025-12-04,Store_2,P004,personal_care,22,6.5,False,143.0,user47@email.com
2025-08-28,Store_1,P001,beverages,43,1.35,True,58.05,user48@email.com
2025-07-26,Store_1,P003,household,6,10.8,True,64.8,user49@email.com
2025-04-08,Store_1,P004,personal_care,8,6.5,False,52.0,user50@email.com
2025-05-23,Store_2,P004,personal_care,15,5.85,True,87.75,user51@email.com
2025-10-09,Store_1,P001,beverages,3,1.35,True,4.05,user52@email.com
2025-05-02,Store_2,P002,snacks,26,2.75,False,71.5,user53@email.com
2025-04-20,Store_2,P004,personal_care,3,5.85,True,17.55,user54@email.com
2025-01-02,Store_2,P004,personal_care,16,6.5,False,104.0,user55@email.com
2025-08-05,Store_2,P004,personal_care,9,5.85,True,52.65,user56@email.com
2025-04-22,Store_3,P001,beverages,37,1.35,True,49.95,user57@email.com
2025-06-10,Store_3,P001,beverages,3,1.5,False,4.5,user58@email.com
2025-09-29,Store_1,P002,snacks,3,2.48,True,7.43,user59@email.com
2025-02-05,Store_2,P001,beverages,43,1.35,True,58.05,user60@email.com
2025-03-03,Store_3,P002,snacks,37,2.48,True,91.58,user61@email.com
2025-02-11,Store_2,P004,personal_care,42,6.5,False,273.0,user62@email.com
2025-04-15,Store_2,P003,household,15,12.0,False,180.0,user63@email.com
2025-03-09,Store_1,P003,household,29,12.0,False,348.0,user64@email.com
2025-01-05,Store_1,P004,personal_care,39,5.85,True,228.15,user65@email.com
2025-10-03,Store_1,P002,snacks,32,2.75,False,88.0,user66@email.com
2025-06-28,Store_2,P001,beverages,15,1.5,False,22.5,user67@email.com
2025-03-22,Store_3,P004,personal_care,34,6.5,False,221.0,user68@email.com
2025-12-01,Store_3,P001,beverages,42,1.5,False,63.0,user69@email.com
2025-02-23,Store_1,P002,snacks,16,2.48,True,39.6,user70@email.com
2025-10-11,Store_3,P002,snacks,17,2.75,False,46.75,user71@email.com
2025-04-18,Store_3,P003,household,13,12.0,False,156.0,user72@email.com
2025-09-08,Store_3,P003,household,3,10.8,True,32.4,user73@email.com
2025-08-05,Store_2,P003,household,2,10.8,True,21.6,user74@email.com
2025-03-08,Store_3,P003,household,10,12.0,False,120.0,user75@email.com
2025-12-28,Store_1,P004,personal_care,35,5.85,True,204.75,user76@email.com
2025-02-08,Store_2,P002,snacks,34,2.48,True,84.15,user77@email.com
2025-10-26,Store_1,P002,snacks,27,2.48,True,66.83,user78@email.com
2025-06-07,Store_2,P003,household,50,10.8,True,540.0,user79@email.com
2025-04-18,Store_2,P002,snacks,42,2.48,True,103.95,user80@email.com
2025-10-14,Store_1,P004,personal_care,39,5.85,True,228.15,user81@email.com
2025-03-25,Store_1,P002,snacks,26,2.48,True,64.35,user82@email.com
2025-06-20,Store_2,P004,personal_care,42,5.85,True,245.7,user83@email.com
2025-03-23,Store_2,P001,beverages,24,1.35,True,32.4,user84@email.com
2025-04-24,Store_2,P002,snacks,29,2.75,False,79.75,user85@email.com
2025-04-27,Store_2,P002,snacks,1,2.48,True,2.48,user86@email.com
2025-06-18,Store_2,P003,household,4,12.0,False,48.0,user87@email.com
2025-11-25,Store_1,P004,personal_care,43,6.5,False,279.5,user88@email.com
2025-03-01,Store_1,P003,household,11,12.0,False,132.0,user89@email.com
2025-02-25,Store_2,P004,personal_care,22,6.5,False,143.0,user90@email.com
2025-11-07,Store_2,P001,beverages,24,1.35,True,32.4,user91@email.com
2025-01-23,Store_2,P004,personal_care,0,5.85,True,0.0,user92@email.com
2025-08-09,Store_3,P001,beverages,42,1.5,False,63.0,user93@email.com
2025-06-10,Store_3,P001,beverages,46,1.5,False,69.0,user94@email.com
2025-06-08,Store_3,P004,personal_care,20,6.5,False,130.0,user95@email.com
2025-06-01,Store_3,P002,snacks,12,2.75,False,33.0,user96@email.com
2025-07-14,Store_2,P002,snacks,39,2.75,False,107.25,user97@email.com
2025-10-08,Store_1,P001,beverages,19,1.5,False,28.5,user98@email.com
2025-08-09,Store_2,P003,household,29,12.0,False,348.0,user99@email.com
2025-12-12,Store_3,P002,snacks,32,2.75,False,88.0,user100@email.com
2025-03-28,Store_1,P001,beverages,18,1.5,False,27.0,user101@email.com
2025-05-01,Store_1,P003,household,14,10.8,True,151.2,user102@email.com
2025-01-13,Store_3,P001,beverages,15,1.5,False,22.5,user103@email.com
2025-02-07,Store_3,P004,personal_care,26,5.85,True,152.1,user104@email.com
2025-12-23,Store_1,P004,personal_care,31,6.5,False,201.5,user105@email.com
2025-03-17,Store_2,P001,beverages,48,1.35,True,64.8,user106@email.com
2025-04-23,Store_1,P002,snacks,44,2.75,False,121.0,user107@email.com
2025-10-13,Store_1,P002,snacks,7,2.75,False,19.25,user108@email.com
2025-08-26,Store_3,P003,household,48,12.0,False,576.0,user109@email.com
2025-09-16,Store_1,P004,personal_care,35,6.5,False,227.5,user110@email.com
2025-09-01,Store_3,P004,personal_care,16,5.85,True,93.6,user111@email.com
2025-05-22,Store_2,P004,personal_care,40,5.85,True,234.0,user112@email.com
2025-08-14,Store_1,P001,beverages,45,1.5,False,67.5,user113@email.com
